week_start,team,deployments,success_rate_pct,lead_time_hours,on_time_delivery_pct
2025-11-17,Data Platform,3,94.4,6.9,98.1
2025-11-17,Core Billing,9,86.8,36.7,79.0
2025-11-24,Grid Analytics,6,98.3,62.7,76.5
2025-11-24,Customer Experience,2,88.5,33.5,70.5
2025-11-24,Field Operations Tools,5,93.8,30.9,77.3
2025-11-24,Data Platform,1,93.7,51.0,90.7
2025-11-24,Core Billing,3,90.6,10.1,74.7
2025-12-01,Grid Analytics,2,95.3,27.0,99.1
2025-12-01,Customer Experience,11,85.9,28.2,74.6
2025-12-01,Field Operations Tools,9,96.9,12.6,77.0
2025-12-01,Data Platform,9,96.8,55.5,94.2
2025-12-01,Core Billing,8,96.0,5.5,81.3
2025-12-08,Grid Analytics,12,87.0,65.1,84.6
2025-12-08,Customer Experience,8,93.4,40.9,84.7
2025-12-08,Field Operations Tools,10,87.8,27.6,92.0
2025-12-08,Data Platform,5,98.0,44.7,95.8
2025-12-08,Core Billing,3,86.0,14.5,78.9
2025-12-15,Grid Analytics,5,93.1,34.9,93.3
2025-12-15,Customer Experience,9,90.7,16.6,70.6
2025-12-15,Field Operations Tools,6,96.6,20.2,91.6
2025-12-15,Data Platform,11,99.5,59.7,75.7
2025-12-15,Core Billing,11,92.5,41.5,88.4
2025-12-22,Grid Analytics,6,91.1,25.9,72.9
2025-12-22,Customer Experience,11,86.0,60.8,73.9
2025-12-22,Field Operations Tools,1,88.0,37.0,73.0
2025-12-22,Data Platform,10,94.6,30.4,84.7
2025-12-22,Core Billing,10,95.5,21.4,81.0
2025-12-29,Grid Analytics,10,95.8,4.9,97.6
2025-12-29,Customer Experience,11,92.4,64.5,72.4
2025-12-29,Field Operations Tools,11,85.9,41.9,98.1
2025-12-29,Data Platform,7,97.3,58.0,71.7
2025-12-29,Core Billing,10,89.0,6.8,72.1
